epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.12,1.96975,2.27878,1.67222,0.1941,0.24029,0.1076,0.04039,2.02159,19.2609,1.85749,0.000658537,0.000658537,0.000658537
2,468.086,2.03195,1.9817,1.71855,0.22952,0.2476,0.1465,0.0438,2.12792,16.865,2.03253,0.00129896,0.00129896,0.00129896
3,686.571,2.0849,2.04719,1.74482,0.04278,0.27958,0.02192,0.00679,2.2378,263.029,1.96598,0.00191299,0.00191299,0.00191299
4,900.266,2.07912,1.97848,1.71955,0.39591,0.36272,0.30433,0.11141,1.93261,11.8444,1.74661,0.0018812,0.0018812,0.0018812
5,1120.08,2.01801,1.9288,1.68204,0.37368,0.42394,0.29911,0.11829,1.76803,18.3069,1.5152,0.0018416,0.0018416,0.0018416
6,1334.69,2.0026,1.86794,1.67098,0.48097,0.35496,0.32511,0.1294,1.68449,4.91513,1.47616,0.001802,0.001802,0.001802
7,1553.12,1.98068,1.86611,1.68554,0.49551,0.43764,0.42965,0.17446,1.68857,15.3219,1.48672,0.0017624,0.0017624,0.0017624
8,1767.4,1.91545,1.86674,1.60777,0.62321,0.50891,0.53881,0.22741,1.61342,9.26251,1.40788,0.0017228,0.0017228,0.0017228
9,1986.4,1.9106,1.70888,1.61187,0.53371,0.53769,0.51358,0.22566,1.59284,7.90963,1.34719,0.0016832,0.0016832,0.0016832
10,2206.09,1.86072,1.71959,1.59399,0.61728,0.56661,0.60073,0.27855,1.50586,3.25334,1.31218,0.0016436,0.0016436,0.0016436
11,2420.18,1.83274,1.59342,1.54228,0.64021,0.53976,0.53186,0.24234,1.50415,5.22566,1.32326,0.001604,0.001604,0.001604
12,2638.16,1.79555,1.55207,1.54003,0.62074,0.56526,0.57643,0.2305,1.57799,6.02204,1.34191,0.0015644,0.0015644,0.0015644
13,2855.31,1.81345,1.53851,1.53493,0.73677,0.62631,0.69208,0.31627,1.51578,3.33106,1.29925,0.0015248,0.0015248,0.0015248
14,3072.75,1.77944,1.5114,1.53969,0.72563,0.64276,0.70238,0.32357,1.45637,2.46032,1.27001,0.0014852,0.0014852,0.0014852
15,3283.99,1.76159,1.48083,1.50539,0.76582,0.64093,0.71033,0.34077,1.42935,3.93706,1.25963,0.0014456,0.0014456,0.0014456
16,3501.88,1.75191,1.47288,1.51241,0.7673,0.6286,0.70246,0.3147,1.52268,2.42495,1.33688,0.001406,0.001406,0.001406
17,3715.73,1.73904,1.39882,1.50559,0.76043,0.61336,0.71068,0.34554,1.47792,2.58893,1.30497,0.0013664,0.0013664,0.0013664
18,3931.74,1.73492,1.40292,1.48426,0.70928,0.64504,0.70474,0.34053,1.46181,2.42177,1.28739,0.0013268,0.0013268,0.0013268
19,4164.01,1.74331,1.36674,1.49702,0.7499,0.68022,0.7405,0.33658,1.54279,1.94885,1.34233,0.0012872,0.0012872,0.0012872
20,4410.5,1.74496,1.36844,1.49864,0.7479,0.66286,0.72509,0.36204,1.38676,3.01947,1.21526,0.0012476,0.0012476,0.0012476
21,4635.88,1.68085,1.34487,1.47545,0.78324,0.72797,0.79603,0.41378,1.3719,2.00086,1.22552,0.001208,0.001208,0.001208
