epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9958,1.97657,2.66143,1.75594,0.37624,0.27958,0.24624,0.07391,1.70929,12.2328,1.70493,0.00065873,0.00065873,0.00065873
2,32.1505,2.03217,2.2646,1.81342,0.37156,0.30562,0.25484,0.09218,1.74984,12.4948,1.62752,0.00130353,0.00130353,0.00130353
3,46.4983,2.00146,2.22174,1.83386,0.47325,0.38465,0.34642,0.12878,1.75807,14.4757,1.61333,0.00192633,0.00192633,0.00192633
4,61.1148,1.97883,2.06363,1.77784,0.50493,0.36318,0.36409,0.13783,1.78782,16.9055,1.67427,0.001901,0.001901,0.001901
5,75.6042,1.93248,1.94553,1.76703,0.51532,0.44832,0.43885,0.15905,1.66959,21.9945,1.55083,0.001868,0.001868,0.001868
6,90.3355,1.93207,1.94791,1.75292,0.5609,0.42348,0.46091,0.17607,1.65383,3.49982,1.50805,0.001835,0.001835,0.001835
7,104.597,1.90131,1.8717,1.71872,0.59,0.50023,0.5245,0.21375,1.6413,3.20018,1.48862,0.001802,0.001802,0.001802
8,119.533,1.8713,1.81126,1.71695,0.65014,0.56236,0.5779,0.2419,1.56943,6.24351,1.46911,0.001769,0.001769,0.001769
9,134.195,1.86411,1.8199,1.73567,0.62611,0.5133,0.55446,0.24008,1.5606,6.2418,1.46808,0.001736,0.001736,0.001736
10,148.438,1.77749,1.73715,1.64655,0.70083,0.52627,0.60034,0.24992,1.56999,3.61085,1.44168,0.001703,0.001703,0.001703
11,162.343,1.82571,1.7124,1.67297,0.71676,0.61398,0.66981,0.29428,1.4986,5.49324,1.35993,0.00167,0.00167,0.00167
12,176.773,1.79133,1.63618,1.64189,0.68558,0.619,0.67305,0.29055,1.48046,10.0082,1.36906,0.001637,0.001637,0.001637
13,190.855,1.78999,1.63776,1.61535,0.64335,0.54883,0.59361,0.23108,1.62725,5.09836,1.46999,0.001604,0.001604,0.001604
14,206.03,1.73406,1.61047,1.62236,0.68297,0.61992,0.66833,0.30064,1.45238,2.00472,1.32087,0.001571,0.001571,0.001571
